# xtQRdecoder synthetic fixtures - GENERATED by tools/gen_synthetic_fixtures.py; do not edit
# file	version	ec	mask	hints	expect	text_hex	note
inverted-v3Q.png	3	Q		TRY_HARDER	error:NotFound	524f54415445204d45203132333435204f70656e5854616c6b	inverted: white modules on black (no ALSO_INVERTED: must fail)
inverted-rot15-v3Q.png	3	Q		TRY_HARDER,ALSO_INVERTED	text	524f54415445204d45203132333435204f70656e5854616c6b	inverted + rotated 15 deg
inverted-rot15-v3Q.png	3	Q		TRY_HARDER	error:NotFound	524f54415445204d45203132333435204f70656e5854616c6b	inverted + rotated 15 deg (no ALSO_INVERTED: must fail)
gradient-v4M.png	4	M		TRY_HARDER	text	4c69676874696e6720746573743a2030313233343536373839206162632058595a	left-right lighting ramp 60..255
blur-v4M.png	4	M		TRY_HARDER	text	4c69676874696e6720746573743a2030313233343536373839206162632058595a	3x3 box blur
noise-v4M.png	4	M		TRY_HARDER	text	4c69676874696e6720746573743a2030313233343536373839206162632058595a	random noise +-45
blur-gradient-rot8-v4M.png	4	M		TRY_HARDER	text	4c69676874696e6720746573743a2030313233343536373839206162632058595a	blur + gradient + 8 deg
quiet1-v2L.png	2	L		TRY_HARDER	text	7469676874207175696574207a6f6e65	border 1 module
quiet2-v2L-offcentre.png	2	L		TRY_HARDER	text	7469676874207175696574207a6f6e65	border 2, padded off-centre to odd size
scale2-v5M.png	5	M		TRY_HARDER	text	7363616c652074776f20706978656c7320706572206d6f64756c652031323334353637383930	only 2 px per module
scale1-v3L.png	3	L		TRY_HARDER	text	6f6e6520706978656c20706572206d6f64756c65	1 px per module
utf8-bytes.png	2	M		TRY_HARDER	text	636166c3a920e2809320c3bc62657220e282ac203132	byte mode carrying UTF-8, guessed charset
pure-v2M.png	2	M		TRY_HARDER	text	7075726520626172636f64652070617468	clean bordered symbol
pure-v2M.png	2	M		PURE_BARCODE	text	7075726520626172636f64652070617468	the PURE_BARCODE fast path
